Nazwisko aktualne,Liczba
SZKUDLAREK,2941
WRZESIŃSKI,2937
KORCZAK,2936
MIELCAREK,2932
SZELIGA,2931
NIEDZIELA,2928
SZOPA,2922
KRUSZYŃSKI,2918
KORZENIEWSKI,2915
GRODZKI,2914
HOFFMANN,2914
KRÓLAK,2910
SZCZUREK,2910
WERNER,2910
KĘPKA,2906
WAJDA,2905
PĘKALA,2898
STASZAK,2898
DROŻDŻ,2894
KOSMALA,2892
GRABARCZYK,2891
BUGAJSKI,2885
OLECH,2882
PIECH,2881
SZYMANEK,2876
GĄSIOREK,2872
MAJKOWSKI,2872
KULPA,2869
RZEPECKI,2865
PLICHTA,2863
LEWIŃSKI,2862
SUSKI,2861
GOLA,2859
LIPIEC,2857
PERKOWSKI,2857
BARTOSZEK,2843
KAPUŚCIŃSKI,2843
BOGDAŃSKI,2840
JAKUBIEC,2838
KURZAWA,2837
SKONIECZNY,2832
RADZISZEWSKI,2828
ROGOZIŃSKI,2821
KOKOSZKA,2814
RODAK,2803
SUCHECKI,2797
WASIELEWSKI,2796
ORZEŁ,2795
SUŁKOWSKI,2794
WOJTOWICZ,2789
WRZOSEK,2788
OLSZAK,2786
RACZKOWSKI,2786
PISZCZEK,2783
DYMEK,2782
OŻÓG,2781
ROKICKI,2781
SZPAK,2780
PASZKIEWICZ,2779
PISAREK,2779
LANGE,2778
KUPIEC,2776
KAŹMIERSKI,2774
SCHMIDT,2774
WIELGUS,2768
ADAMIEC,2763
KOZAKIEWICZ,2759
KOKOT,2754
JANCZAK,2753
KAWALEC,2750
GOLIŃSKI,2749
GOŁĄBEK,2748
ZAPAŁA,2746
WYRZYKOWSKI,2744
GŁADYSZ,2742
RÓG,2742
OSOWSKI,2740
STOKŁOSA,2734
JASKULSKI,2732
BUGAJ,2729
BRODOWSKI,2727
BARSZCZ,2725
BANASZAK,2722
BIAŁECKI,2719
WOJTASZEK,2719
BIELA,2718
CHROBAK,2717
ŚWIERCZEK,2711
ROMAŃSKI,2710
BRZESKI,2707
MATUSIK,2707
SZYMANOWSKI,2707
BOJARSKI,2706
KOPROWSKI,2705
GARBACZ,2703
MACH,2701
LASEK,2695
KONARSKI,2693
MĄCZKA,2693
PLEWA,2692
POTOCKI,2692
GRUCA,2691
PIERZCHAŁA,2687
SUDOŁ,2685
NOWIŃSKI,2683
SOLECKI,2683
SMOLAREK,2682
KAROLAK,2679
LOREK,2678
KOCHAŃSKI,2677
GABRYŚ,2676
KOSTKA,2668
PŁATEK,2663
BALICKI,2662
SZCZYGIELSKI,2660
PISKORZ,2658
KALIŃSKI,2657
AMBROZIAK,2655
JAMRÓZ,2654
SUROWIEC,2651
WASZKIEWICZ,2651
PUCHAŁA,2645
CZARNOTA,2644
ŁACH,2644
TRACZYK,2643
BILIŃSKI,2641
PIECHOCKI,2640
PANASIUK,2633
PASZEK,2627
SALA,2627
DZIKOWSKI,2621
KOLASIŃSKI,2615
WÓJCIAK,2615
BURDA,2614
WŁOCH,2612
ŚWITAŁA,2610
ZBOROWSKI,2610
BUREK,2609
PASEK,2606
WDOWIAK,2604
NGUYEN,2603
PIĘTA,2603
WAGNER,2602
KEMPA,2598
OKOŃ,2598
BIEL,2597
BARON,2596
BERNAT,2591
WALCZYK,2591
DOLATA,2588
SZYMANIAK,2587
MĄDRY,2585
GRELA,2584
KRAUZE,2583
BŁOŃSKI,2575
BATOR,2573
OLEŚ,2572
SKWAREK,2572
ZAWISTOWSKI,2572
WACHOWIAK,2569
STACHOWSKI,2568
FIGURA,2567
JAROSZEWSKI,2565
MODRZEJEWSKI,2564
STENCEL,2563
OSUCH,2561
ADAMCZEWSKI,2558
OGÓREK,2557
CIOŁEK,2552
DZIURA,2552
KAPICA,2550
FERENC,2549
ZARĘBSKI,2546
GAZDA,2541
GÓRALCZYK,2541
FRANCZAK,2540
CICHOSZ,2538
JEDYNAK,2538
ŁOŚ,2538
MULARCZYK,2538
STĘPNIEWSKI,2537
MIŚ,2535
MROWIEC,2535
WĄSOWSKI,2535
WEBER,2535
WALIGÓRA,2534
PARADOWSKI,2529
GROBELNY,2527
PÓŁTORAK,2527
LACHOWICZ,2523
KOŚCIELNIAK,2522
MIECZKOWSKI,2522
DUTKIEWICZ,2521
ĆWIK,2518
DOLIŃSKI,2516
KOŁODZIEJCZAK,2514
BOGDAN,2513
BROŻEK,2513
KWAŚNY,2510
MYŚLIWIEC,2508
MAJDA,2506
OZGA,2506
GRABSKI,2505
JASKÓLSKI,2505
KOZYRA,2505
GRYGIEL,2502
NADOLNY,2502
ŁAWNICZAK,2501
ZAWISZA,2501
KOZERA,2500
BARTNICKI,2498
DRĄG,2498
GAŁECKI,2497
WIELGOSZ,2491
BOROŃ,2488
MELNYK,2485
MŁYNARSKI,2484
BERNACKI,2479
KLIMAS,2479
KRASKA,2479
LEMAŃSKI,2479
KOCHANOWSKI,2478
KOZICKI,2478
KULAS,2475
WNĘK,2474
GAJ,2473
NALEPA,2469
SZWEDA,2468
KULIKOWSKI,2466
MIREK,2464
SITKO,2460
CZUBA,2458
BIEŃ,2456
STOPA,2456
KOSTRZEWSKI,2455
SZADKOWSKI,2455
SZCZEPANEK,2453
NADOLSKI,2452
SOBOŃ,2448
TABOR,2447
WINNICKI,2447
ĆWIKLIŃSKI,2444
KĄKOL,2443
FLAK,2441
PRZYBYSZEWSKI,2439
CZAPLIŃSKI,2437
SKORUPSKI,2434
WYDRA,2432
SPYCHAŁA,2431
RYBA,2429
SZAFRAN,2429
GLIŃSKI,2427
GALIŃSKI,2419
BARTOSIEWICZ,2417
TYMIŃSKI,2414
FILIPCZAK,2411
FIGIEL,2410
BŁAŻEJEWSKI,2408
KREFT,2408
PORĘBA,2407
NIEZGODA,2404
KLUSKA,2403
PASTUSZKA,2403
SARNOWSKI,2401
BŁASZKIEWICZ,2396
MORAWIEC,2393
JANECZEK,2392
BARTKOWSKI,2387
ANTONIAK,2385
MACHNIK,2385
WĘGLARZ,2385
WALAS,2383
TURSKI,2382
PAJOR,2381
KLIMASZEWSKI,2380
SOBOCIŃSKI,2375
BUDNY,2374
PIETRZYKOWSKI,2374
GAJEK,2372
WCISŁO,2371
BUDA,2370
ŚWIERCZ,2367
DOBRZAŃSKI,2365
ŁAKOMY,2364
KRÓLIK,2363
ZASADA,2362
ŁUGOWSKI,2357
WISZNIEWSKI,2356
NOSAL,2355
ŚLIWKA,2354
RYCHLIK,2350
GALAS,2348
IWANOWSKI,2347
MUSIOŁ,2347
ZAWIŚLAK,2341
GUZ,2337
RUMIŃSKI,2337
GIZA,2335
SŁOMIŃSKI,2334
IWANICKI,2332
KAZIMIERCZAK,2331
GOŁASZEWSKI,2327
MATCZAK,2327
SEWERYN,2327
RYBIŃSKI,2324
KRAUSE,2321
WIERZCHOWSKI,2321
GAŁUSZKA,2314
WILCZEWSKI,2313
MIKUŁA,2312
BRYŁA,2307
FURTAK,2307
MARCZEWSKI,2307
ZIOMEK,2306
KLONOWSKI,2303
GOLONKA,2301
RYBACKI,2300
TUSZYŃSKI,2298
SZCZOTKA,2297
BOJANOWSKI,2296
SŁOMKA,2296
SMYK,2296
CHOJECKI,2295
PIEŃKOWSKI,2293
ROKITA,2293
CZAPIEWSKI,2292
MIZERA,2289
JACKIEWICZ,2288
MARCINKIEWICZ,2287
SZOSTEK,2287
DUSZA,2285
MAKAREWICZ,2285
RADZIKOWSKI,2284
MISZCZAK,2283
JOŃCZYK,2282
KALBARCZYK,2281
KOŁACZ,2281
GÓRALSKI,2280
TRUSZKOWSKI,2278
PILARCZYK,2277
PODSIADŁO,2277
KALITA,2276
SZUBERT,2275
KASPERSKI,2273
KORNACKI,2267
BOROWIAK,2265
OLENDER,2265
WASZAK,2260
KOMAR,2259
GĄSKA,2258
PIEKARZ,2256
CHYLIŃSKI,2253
KŁOSIŃSKI,2253
DOMAGALSKI,2252
LEWCZUK,2252
RĄCZKA,2250
SOBCZYŃSKI,2249
STRZAŁKOWSKI,2249
BABIARZ,2244
NAPIÓRKOWSKI,2239
DANIEL,2237
MOROZ,2235
WACHOWSKI,2235
BĄCZEK,2234
LUDWICZAK,2233
FRANKIEWICZ,2231
RADWAŃSKI,2229
TARKA,2229
WILIŃSKI,2228
MASTALERZ,2227
IWAN,2223
KRZAK,2223
KOBYLIŃSKI,2222
RAKOCZY,2221
TOPOLSKI,2219
MAŁOLEPSZY,2218
KLOC,2217
NYCZ,2217
MACHOWSKI,2214
SUCHOCKI,2211
TROJAN,2210
PIWOWAR,2204
KRASUSKI,2203
GREGORCZYK,2200
KOZIŃSKI,2197
DREWNIAK,2196
MARKOWICZ,2196
SITARZ,2196
ZIEMBA,2196
DUL,2194
PISARSKI,2194
DAWIDOWSKI,2193
DWORAK,2189
MACIASZEK,2187
ANTKOWIAK,2185
KIELAR,2182
RYDZEWSKI,2181
PATER,2180
GWIAZDA,2179
MALCZEWSKI,2175
WOJDYŁA,2173
